date,time,latitude,longitude
2019-7-11,9:43:1,48.173501,11.737284
2019-7-11,9:43:2,48.173511,11.737347
2019-7-11,9:43:3,48.173523,11.737418
2019-7-11,9:43:4,48.173535,11.737492
2019-7-11,9:43:5,48.173544,11.737553
2019-7-11,9:43:6,48.173554,11.737614
2019-7-11,9:43:7,48.173565,11.737685
2019-7-11,9:43:8,48.173577,11.73776
2019-7-11,9:43:9,48.173589,11.737833
2019-7-11,9:43:10,48.173599,11.737899
2019-7-11,9:43:11,48.17361,11.737963
2019-7-11,9:43:12,48.173621,11.738036
2019-7-11,9:43:13,48.17363,11.738089
2019-7-11,9:43:14,48.173642,11.738163
2019-7-11,9:43:15,48.173658,11.738269
2019-7-11,9:43:16,48.173679,11.7384
2019-7-11,9:43:17,48.173703,11.738549
2019-7-11,9:43:18,48.173731,11.738729
2019-7-11,9:43:19,48.17376,11.738912
2019-7-11,9:43:20,48.17379,11.739103
2019-7-11,9:43:21,48.173818,11.739283
2019-7-11,9:43:22,48.173848,11.739471
2019-7-11,9:43:23,48.173877,11.739653
2019-7-11,9:43:24,48.173905,11.739832
2019-7-11,9:43:25,48.173935,11.740021
2019-7-11,9:43:26,48.173964,11.740205
2019-7-11,9:43:27,48.173992,11.740387
2019-7-11,9:43:28,48.17402,11.740563
2019-7-11,9:43:29,48.17405,11.740751
2019-7-11,9:43:30,48.174078,11.740932
2019-7-11,9:43:31,48.174108,11.741119
2019-7-11,9:43:32,48.17412,11.741304
2019-7-11,9:43:33,48.174065,11.741464
2019-7-11,9:43:34,48.174025,11.741607
2019-7-11,9:43:35,48.174047,11.741727
2019-7-11,9:43:36,48.174068,11.741786
2019-7-11,9:43:37,48.17405,11.741863
2019-7-11,9:43:38,48.173987,11.741941
2019-7-11,9:43:39,48.173906,11.742017
2019-7-11,9:43:40,48.173818,11.742094
2019-7-11,9:43:41,48.173713,11.742184
2019-7-11,9:43:42,48.173601,11.742279
2019-7-11,9:43:43,48.173488,11.742375
2019-7-11,9:43:44,48.173381,11.742469
2019-7-11,9:43:45,48.173269,11.742571
2019-7-11,9:43:46,48.173163,11.742665
2019-7-11,9:43:47,48.173052,11.742762
2019-7-11,9:43:48,48.172945,11.742857
2019-7-11,9:43:49,48.172834,11.742956
2019-7-11,9:43:50,48.172721,11.743055
2019-7-11,9:43:51,48.172612,11.74315
2019-7-11,9:43:52,48.172498,11.743249
2019-7-11,9:43:53,48.172388,11.743346
2019-7-11,9:43:54,48.172284,11.743438
2019-7-11,9:43:55,48.17217,11.743539
2019-7-11,9:43:56,48.172059,11.743638
2019-7-11,9:43:57,48.171951,11.743734
2019-7-11,9:43:58,48.17184,11.743825
2019-7-11,9:43:59,48.17172,11.743886
2019-7-11,9:44:0,48.171592,11.743907
2019-7-11,9:44:1,48.171461,11.743928
2019-7-11,9:44:2,48.171333,11.743952
2019-7-11,9:44:3,48.171223,11.744024
2019-7-11,9:44:4,48.171117,11.744122
2019-7-11,9:44:5,48.171007,11.744224
2019-7-11,9:44:6,48.170895,11.744327
2019-7-11,9:44:7,48.170784,11.744424
2019-7-11,9:44:8,48.170695,11.744502
2019-7-11,9:44:9,48.170636,11.744525
2019-7-11,9:44:10,48.170553,11.744525
2019-7-11,9:44:11,48.170452,11.744531
2019-7-11,9:44:12,48.170391,11.744594
2019-7-11,9:44:13,48.170347,11.744678
2019-7-11,9:44:14,48.170336,11.744798
2019-7-11,9:44:15,48.170275,11.744916
2019-7-11,9:44:16,48.170176,11.745013
2019-7-11,9:44:17,48.170067,11.74511
2019-7-11,9:44:18,48.169961,11.745228
2019-7-11,9:44:19,48.169884,11.745383
2019-7-11,9:44:20,48.169805,11.745524
2019-7-11,9:44:21,48.169701,11.745634
2019-7-11,9:44:22,48.169589,11.745726
2019-7-11,9:44:23,48.169474,11.745822
2019-7-11,9:44:24,48.169368,11.745912
2019-7-11,9:44:25,48.169256,11.746009
2019-7-11,9:44:26,48.169147,11.746103
2019-7-11,9:44:27,48.169034,11.7462
2019-7-11,9:44:28,48.168926,11.746294
2019-7-11,9:44:29,48.168817,11.746387
2019-7-11,9:44:30,48.168706,11.746483
2019-7-11,9:44:31,48.168601,11.746574
2019-7-11,9:44:32,48.16849,11.74667
2019-7-11,9:44:33,48.168385,11.74676
2019-7-11,9:44:34,48.168279,11.746851
2019-7-11,9:44:35,48.168169,11.746946
2019-7-11,9:44:36,48.16806,11.747039
2019-7-11,9:44:37,48.167955,11.74713
2019-7-11,9:44:38,48.167847,11.747222
2019-7-11,9:44:39,48.167734,11.747319
2019-7-11,9:44:40,48.167626,11.747411
2019-7-11,9:44:41,48.167518,11.747504
2019-7-11,9:44:42,48.167405,11.747601
2019-7-11,9:44:43,48.167295,11.747696
2019-7-11,9:44:44,48.167189,11.747787
2019-7-11,9:44:45,48.167082,11.747879
2019-7-11,9:44:46,48.166972,11.747973
2019-7-11,9:44:47,48.16686,11.74807
2019-7-11,9:44:48,48.166749,11.748164
2019-7-11,9:44:49,48.166637,11.748261
2019-7-11,9:44:50,48.16655,11.748334
2019-7-11,9:44:51,48.16646,11.748408
2019-7-11,9:44:52,48.166393,11.748465
2019-7-11,9:44:53,48.166333,11.748516
2019-7-11,9:44:54,48.166268,11.748571
2019-7-11,9:44:55,48.166201,11.748627
2019-7-11,9:44:56,48.166133,11.748684
2019-7-11,9:44:57,48.166066,11.748741
2019-7-11,9:44:58,48.165997,11.748799
2019-7-11,9:44:59,48.165935,11.748851
2019-7-11,9:45:0,48.165868,11.748908
2019-7-11,9:45:1,48.165801,11.748965
2019-7-11,9:45:2,48.165732,11.749023
2019-7-11,9:45:3,48.165668,11.749077
2019-7-11,9:45:4,48.1656,11.749134
2019-7-11,9:45:5,48.165533,11.749191
2019-7-11,9:45:6,48.165473,11.749248
2019-7-11,9:45:7,48.165419,11.749311
2019-7-11,9:45:8,48.165359,11.749378
2019-7-11,9:45:9,48.165298,11.74943
2019-7-11,9:45:10,48.165232,11.749476
2019-7-11,9:45:11,48.165162,11.749527
2019-7-11,9:45:12,48.165097,11.749581
2019-7-11,9:45:13,48.165037,11.749631
2019-7-11,9:45:14,48.164971,11.749686
2019-7-11,9:45:15,48.164911,11.749736
2019-7-11,9:45:16,48.164847,11.749793
2019-7-11,9:45:17,48.1648,11.749835
2019-7-11,9:45:18,48.16478,11.74986
2019-7-11,9:45:19,48.164786,11.749886
2019-7-11,9:45:20,48.164814,11.749873
2019-7-11,9:45:21,48.164851,11.749839
2019-7-11,9:45:22,48.164901,11.749796
2019-7-11,9:45:23,48.164964,11.749741
2019-7-11,9:45:24,48.165027,11.749688
2019-7-11,9:45:25,48.165096,11.749631
2019-7-11,9:45:26,48.165156,11.749581
2019-7-11,9:45:27,48.16522,11.749532
2019-7-11,9:41:1,48.170054,11.761977
2019-7-11,9:41:2,48.170044,11.761966
2019-7-11,9:41:3,48.170023,11.761943
2019-7-11,9:41:4,48.169995,11.761905
2019-7-11,9:41:5,48.169965,11.761824
2019-7-11,9:41:6,48.169934,11.761738
2019-7-11,9:41:7,48.169901,11.761648
2019-7-11,9:41:8,48.169873,11.761571
2019-7-11,9:41:9,48.169845,11.761489
2019-7-11,9:41:10,48.169816,11.761406
2019-7-11,9:41:11,48.169785,11.761313
2019-7-11,9:41:12,48.169757,11.761224
2019-7-11,9:41:13,48.169729,11.761135
2019-7-11,9:41:14,48.169704,11.761055
2019-7-11,9:41:15,48.169671,11.760972
2019-7-11,9:41:16,48.169638,11.760891
2019-7-11,9:41:17,48.169607,11.760813
2019-7-11,9:41:18,48.169572,11.760726
2019-7-11,9:41:19,48.169536,11.760637
2019-7-11,9:41:20,48.169504,11.760552
2019-7-11,9:41:21,48.169473,11.760467
2019-7-11,9:41:22,48.169439,11.760376
2019-7-11,9:41:23,48.169406,11.760284
2019-7-11,9:41:24,48.169376,11.760201
2019-7-11,9:41:25,48.169347,11.760124
2019-7-11,9:41:26,48.169319,11.760046
2019-7-11,9:41:27,48.169287,11.75996
2019-7-11,9:41:28,48.169255,11.759872
2019-7-11,9:41:29,48.169223,11.759785
2019-7-11,9:41:30,48.169188,11.759708
2019-7-11,9:41:31,48.169153,11.75963
2019-7-11,9:41:32,48.169135,11.759546
2019-7-11,9:41:33,48.16912,11.75946
2019-7-11,9:41:34,48.169117,11.759357
2019-7-11,9:41:35,48.169131,11.759256
2019-7-11,9:41:36,48.169142,11.759153
2019-7-11,9:41:37,48.16913,11.759058
2019-7-11,9:41:38,48.169112,11.759008
2019-7-11,9:41:39,48.169096,11.758923
2019-7-11,9:41:40,48.169068,11.75884
2019-7-11,9:41:41,48.169037,11.758755
2019-7-11,9:41:42,48.169009,11.758677
2019-7-11,9:41:43,48.168979,11.758595
2019-7-11,9:41:44,48.168949,11.758511
2019-7-11,9:41:45,48.168916,11.758419
2019-7-11,9:41:46,48.168885,11.758335
2019-7-11,9:41:47,48.168855,11.758251
2019-7-11,9:41:48,48.168825,11.758166
2019-7-11,9:41:49,48.168793,11.758076
2019-7-11,9:41:50,48.168763,11.75799
2019-7-11,9:41:51,48.168735,11.757912
2019-7-11,9:41:52,48.168703,11.757822
2019-7-11,9:41:53,48.168671,11.757731
2019-7-11,9:41:54,48.168644,11.757653
2019-7-11,9:41:55,48.16862,11.757585
2019-7-11,9:41:56,48.168601,11.757511
2019-7-11,9:41:57,48.168621,11.757451
2019-7-11,9:41:58,48.168669,11.757404
2019-7-11,9:41:59,48.168721,11.757355
2019-7-11,9:42:0,48.168781,11.7573
2019-7-11,9:42:1,48.168832,11.757252
2019-7-11,9:42:2,48.168884,11.757204
2019-7-11,9:42:3,48.168939,11.757152
2019-7-11,9:42:4,48.168998,11.757097
2019-7-11,9:42:5,48.169053,11.757047
2019-7-11,9:42:6,48.169106,11.756998
2019-7-11,9:42:7,48.169164,11.756946
2019-7-11,9:42:8,48.169217,11.756897
2019-7-11,9:42:9,48.169275,11.756844
2019-7-11,9:42:10,48.16933,11.756794
2019-7-11,9:42:11,48.16938,11.756748
2019-7-11,9:42:12,48.169432,11.756701
2019-7-11,9:42:13,48.169486,11.756652
2019-7-11,9:42:14,48.169543,11.7566
2019-7-11,9:42:15,48.169599,11.756549
